Date,National Net Migration
1946-03,12738
1946-06,21176
1946-09,25078
1946-12,12727
1947-03,8009
1947-06,13404
1947-09,18624
1947-12,24090
1948-03,23076
1948-06,34199
1948-09,33932
1948-12,34207
1949-03,23265
1949-06,30243
1949-09,22641
1949-12,19068
1950-03,14470
1950-06,22816
1950-09,16964
1950-12,19662
1951-03,25914
1951-06,53871
1951-09,36463
1951-12,50869
1952-03,29106
1952-06,40629
1952-09,20676
1952-12,13528
1953-03,10387
1953-06,42306
1953-09,30610
1953-12,27590
1954-03,16198
1954-06,44210
1954-09,24814
1954-12,11855
1955-03,5580
1955-06,27323
1955-09,8829
1955-12,6321
1956-03,4805
1956-06,33384
1956-09,20929
1956-12,36986
1957-03,47031
1957-06,103101
1957-09,40554
1957-12,17095
1958-03,8278
1958-06,31613
1958-09,14757
1958-12,8522
1959-03,4483
1959-06,25001
1959-09,6698
1959-12,1557
1960-03,1448
1960-06,23843
1960-09,3578
1960-12,-354
1961-03,-2145
1961-06,7868
1961-09,-2175
1961-12,-4164
1962-03,-3744
1962-06,5316
1962-09,-176
1962-12,-3550
1963-03,-3849
1963-06,9347
1963-09,3454
1963-12,636
1964-03,-1209
1964-06,13118
1964-09,5142
1964-12,3125
1965-03,1240
1965-06,17322
1965-09,13336
1965-12,9553
1966-03,15036
1966-06,37657
1966-09,28413
1966-12,22148
1967-03,21156
1967-06,40688
1967-09,33227
1967-12,19343
1968-03,10803
1968-06,23551
1968-09,24966
1968-12,24618
1969-03,10896
1969-06,19038
1969-09,22229
1969-12,19279
1970-03,13132
1970-06,20716
1970-09,18215
1970-12,14689
1971-03,11305
1971-06,14327
1971-09,31191
1971-12,16143
1972-03,19547
1972-06,26575
1972-09,28777
1972-12,23907
1973-03,22393
1973-06,43710
1973-09,39092
1973-12,46219
1974-03,38007
1974-06,45383
1974-09,55537
1974-12,35541
1975-03,35932
1975-06,49760
1975-09,51018
1975-12,24822
1976-03,27919
1976-06,32956
1976-09,38525
1976-12,18768
1977-03,23423
1977-06,23156
1977-09,28398
1977-12,8849
1978-03,16355
1978-06,12931
1978-09,16251
1978-12,6114
1979-03,14749
1979-06,24537
1979-09,29821
1979-12,26427
1980-03,32538
1980-06,49504
1980-09,37994
1980-12,20708
1981-03,25917
1981-06,38093
1981-09,51271
1981-12,19190
1982-03,21209
1982-06,26856
1982-09,28015
1982-12,10470
1983-03,18278
1983-06,17290
1983-09,19071
1983-12,7304
1984-03,16318
1984-06,19214
1984-09,20524
1984-12,3130
1985-03,16289
1985-06,19559
1985-09,23685
1985-12,8923
1986-03,22492
1986-06,31199
1986-09,35374
1986-12,26583
1987-03,48605
1987-06,48003
1987-09,47653
1987-12,19804
1988-03,38237
1988-06,62009
1988-09,89059
1988-12,56612
1989-03,72195
1989-06,74206
1989-09,69808
1989-12,15957
1990-03,56362
1990-06,64225
1990-09,58512
1990-12,1363
1991-03,27372
1991-06,52798
1991-09,38504
1991-12,16045
1992-03,47191
1992-06,50147
1992-09,54050
1992-12,22814
1993-03,32615
1993-06,37768
1993-09,56214
1993-12,16208
1994-03,39922
1994-06,47976
1994-09,51161
1994-12,13154
1995-03,39457
1995-06,49388
1995-09,50647
1995-12,22300
1996-03,39322
1996-06,55277
1996-09,55758
1996-12,16196
1997-03,43080
1997-06,50582
1997-09,51541
1997-12,8819
1998-03,32449
1998-06,38959
1998-09,40047
1998-12,5808
1999-03,36381
1999-06,53191
1999-09,55769
1999-12,12674
2000-03,47030
2000-06,59296
2000-09,68775
2000-12,23652
2001-03,65652
2001-06,78621
2001-09,77695
2001-12,19765
2002-03,64733
2002-06,76785
2002-09,61070
2002-12,9917
2003-03,51107
2003-06,63316
2003-09,59998
2003-12,20779
2004-03,51112
2004-06,64392
2004-09,66440
2004-12,16234
2005-03,50030
2005-06,71106
2005-09,75175
2005-12,19742
2006-03,53349
2006-06,71312
2006-09,77090
2006-12,18603
2007-03,54104
2007-06,74853
2007-09,79403
2007-12,26513
2008-03,58364
2008-06,90807
2008-09,89890
2008-12,33606
2009-03,65141
2009-06,86895
2009-09,91491
2009-12,28729
2010-03,61556
2010-06,87008
2010-09,93793
2010-12,13066
2011-03,48786
2011-06,79307
2011-09,85696
2011-12,36645
2012-03,58198
2012-06,94532
2012-09,85760
2012-12,24600
2013-03,62013
2013-06,98919
2013-09,92518
2013-12,16356
2014-03,58516
2014-06,89534
2014-09,93514
2014-12,-419
2015-03,27697
