TERMS AND CONDITIONS
https://www.bankofcanada.ca/terms/

NAME
"Unemployment rate"

DESCRIPTION
"Scroll down for data."

LINK
"https://www.bankofcanada.ca/?p=201766"

SERIES
id,label,description
SWP-URATE1982Q2,"URATE - Staff Projection 1982Q2","Unemployment rate - Staff Projection 1982Q2"
SWP-URATE1982Q3,"URATE - Staff Projection 1982Q3","Unemployment rate - Staff Projection 1982Q3"
SWP-URATE1982Q4,"URATE - Staff Projection 1982Q4","Unemployment rate - Staff Projection 1982Q4"
SWP-URATE1983Q1,"URATE - Staff Projection 1983Q1","Unemployment rate - Staff Projection 1983Q1"
SWP-URATE1983Q2,"URATE - Staff Projection 1983Q2","Unemployment rate - Staff Projection 1983Q2"
SWP-URATE1983Q3,"URATE - Staff Projection 1983Q3","Unemployment rate - Staff Projection 1983Q3"
SWP-URATE1983Q4,"URATE - Staff Projection 1983Q4","Unemployment rate - Staff Projection 1983Q4"
SWP-URATE1984Q1,"URATE - Staff Projection 1984Q1","Unemployment rate - Staff Projection 1984Q1"
SWP-URATE1984Q2,"URATE - Staff Projection 1984Q2","Unemployment rate - Staff Projection 1984Q2"
SWP-URATE1984Q3,"URATE - Staff Projection 1984Q3","Unemployment rate - Staff Projection 1984Q3"
SWP-URATE1984Q4,"URATE - Staff Projection 1984Q4","Unemployment rate - Staff Projection 1984Q4"
SWP-URATE1985Q1,"URATE - Staff Projection 1985Q1","Unemployment rate - Staff Projection 1985Q1"
SWP-URATE1985Q2,"URATE - Staff Projection 1985Q2","Unemployment rate - Staff Projection 1985Q2"
SWP-URATE1985Q3,"URATE - Staff Projection 1985Q3","Unemployment rate - Staff Projection 1985Q3"
SWP-URATE1985Q4,"URATE - Staff Projection 1985Q4","Unemployment rate - Staff Projection 1985Q4"
SWP-URATE1986Q1,"URATE - Staff Projection 1986Q1","Unemployment rate - Staff Projection 1986Q1"
SWP-URATE1986Q2,"URATE - Staff Projection 1986Q2","Unemployment rate - Staff Projection 1986Q2"
SWP-URATE1986Q3,"URATE - Staff Projection 1986Q3","Unemployment rate - Staff Projection 1986Q3"
SWP-URATE1986Q4,"URATE - Staff Projection 1986Q4","Unemployment rate - Staff Projection 1986Q4"
