"REF_DATE","GEO","DGUID","Unemployment rate","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1996","Canada","00","Unemployment rate, 15 years and over","Percent","239","units ","0","v4333998","1.1","9.6","","","","1"
"1996","Canada","00","Unemployment rate, 15 to 24 years","Percent","239","units ","0","v4333999","1.2","15.3","","","","1"
"1996","Newfoundland and Labrador","10","Unemployment rate, 15 years and over","Percent","239","units ","0","v4334000","2.1","19.3","","","","1"
"1996","Newfoundland and Labrador","10","Unemployment rate, 15 to 24 years","Percent","239","units ","0","v4334001","2.2","28.0","","","","1"
"1996","Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)","1001","Unemployment rate, 15 years and over","Percent","239","units ","0","v4334002","3.1","14.4","","","","1"
"1996","Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)","1001","Unemployment rate, 15 to 24 years","Percent","239","units ","0","v4334003","3.2","21.2","","","","1"
"1996","Health and Community Services Eastern Region, Newfoundland and Labrador (Peer group D)","1002","Unemployment rate, 15 years and over","Percent","239","units ","0","v4334004","4.1","24.0","","","","1"
"1996","Health and Community Services Eastern Region, Newfoundland and Labrador (Peer group D)","1002","Unemployment rate, 15 to 24 years","Percent","239","units ","0","v4334005","4.2","32.5","","","","1"
"1996","Health and Community Services Central Region, Newfoundland and Labrador (Peer group D)","1003","Unemployment rate, 15 years and over","Percent","239","units ","0","v4334006","5.1","21.4","","","","1"
"1996","Health and Community Services Central Region, Newfoundland and Labrador (Peer group D)","1003","Unemployment rate, 15 to 24 years","Percent","239","units ","0","v4334007","5.2","33.6","","","","1"
"1996","Health and Community Services Western Region, Newfoundland and Labrador (Peer group D)","1004","Unemployment rate, 15 years and over","Percent","239","units ","0","v4334008","6.1","22.5","","","","1"
"1996","Health and Community Services Western Region, Newfoundland and Labrador (Peer group D)","1004","Unemployment rate, 15 to 24 years","Percent","239","units ","0","v4334009","6.2","33.0","","","","1"
"1996","Grenfell Regional Health Services Board, Newfoundland and Labrador (Peer group D)","1005","Unemployment rate, 15 years and over","Percent","239","units ","0","v4334010","7.1","","F","","","1"
"1996","Grenfell Regional Health Services Board, Newfoundland and Labrador (Peer group D)","1005","Unemployment rate, 15 to 24 years","Percent","239","units ","0","v4334011","7.2","","F","","","1"
"1996","Health Labrador Corporation, Newfoundland and Labrador (Peer group F)","1006","Unemployment rate, 15 years and over","Percent","239","units ","0","v4334012","8.1","21.1","","","","1"
"1996","Health Labrador Corporation, Newfoundland and Labrador (Peer group F)","1006","Unemployment rate, 15 to 24 years","Percent","239","units ","0","v4334013","8.2","34.8","","","","1"
"1996","Prince Edward Island","11","Unemployment rate, 15 years and over","Percent","239","units ","0","v4334014","9.1","14.7","","","","1"
"1996","Prince Edward Island","11","Unemployment rate, 15 to 24 years","Percent","239","units ","0","v4334015","9.2","17.3","","","","1"
"1996","Urban Health Region, Prince Edward Island (Peer group I)","1101","Unemployment rate, 15 years and over","Percent","239","units ","0","v4334016","10.1","11.8","","","","1"
"1996","Urban Health Region, Prince Edward Island (Peer group I)","1101","Unemployment rate, 15 to 24 years","Percent","239","units ","0","v4334017","10.2","15.3","","","","1"
"1996","Rural Health Region, Prince Edward Island (Peer group E)","1102","Unemployment rate, 15 years and over","Percent","239","units ","0","v4334018","11.1","17.5","","","","1"
