date,V41690973,V41690914,STATIC_TOTALCPICHANGE,CPI_TRIM,CPI_MEDIAN,CPI_COMMON,ATOM_V41693242,STATIC_CPIXFET,CPIW
95-01-01,86.6,86.6,0.6,1.8,1.8,1.2,,2.2,1.7
95-02-01,87,87,1.9,1.9,1.8,1.2,,1.8,1.7
95-03-01,87.2,87.2,2.1,2,1.8,1.3,,2.1,1.9
95-04-01,87.5,87.4,2.5,2.1,2,1.3,,2.1,2
95-05-01,87.7,87.7,2.9,2.3,2.1,1.5,,2.5,2.2
95-06-01,87.7,87.7,2.7,2.2,2.1,1.4,,2.4,2.1
95-07-01,87.9,87.8,2.6,2.2,2,1.5,,2.5,2.1
95-08-01,87.7,87.7,2.2,2.1,2,1.5,,2.6,2.1
95-09-01,87.8,87.8,2.2,2.1,2,1.5,,2.5,2
95-10-01,87.7,87.8,2.3,2.1,1.9,1.6,,2.5,2
95-11-01,88,87.9,2.1,1.9,1.7,1.5,,2.3,1.9
95-12-01,87.8,87.9,1.7,1.7,1.6,1.4,,1.7,1.5
96-01-01,88,88,1.6,1.5,1.5,1.4,,1.6,1.4
96-02-01,88.1,88.1,1.3,1.4,1.4,1.3,,1.5,1.3
96-03-01,88.5,88.5,1.5,1.3,1.3,1.4,,1.5,1.3
96-04-01,88.7,88.7,1.4,1.2,1.2,1.4,,1.6,1.3
96-05-01,89,88.9,1.5,1.2,1.2,1.4,,1.6,1.4
96-06-01,89,88.9,1.5,1.2,1.2,1.5,,1.3,1.4
96-07-01,89,88.9,1.3,1.2,1.2,1.4,,1.4,1.3
96-08-01,89,89,1.5,1.1,1.2,1.4,,1.3,1.3
96-09-01,89.1,89.1,1.5,1.2,1.2,1.5,,1.2,1.4
96-10-01,89.3,89.4,1.8,1.2,1.3,1.5,,1.3,1.6
96-11-01,89.7,89.7,1.9,1.3,1.4,1.6,,1.4,1.7
96-12-01,89.7,89.9,2.2,1.4,1.5,1.6,,1.8,1.9
97-01-01,89.9,90,2.2,1.4,1.4,1.6,,1.7,1.8
97-02-01,90.1,90.1,2.3,1.3,1.3,1.6,,1.6,1.7
97-03-01,90.2,90.2,1.9,1.4,1.3,1.6,,1.8,1.8
97-04-01,90.2,90.2,1.7,1.3,1.3,1.6,,1.8,1.8
97-05-01,90.3,90.2,1.5,1.2,1.2,1.6,,1.5,1.7
97-06-01,90.5,90.3,1.7,1.3,1.2,1.6,,2.1,1.8
97-07-01,90.5,90.4,1.7,1.1,1.1,1.6,,1.5,1.6
97-08-01,90.6,90.6,1.8,1.2,1.1,1.6,,1.5,1.7
97-09-01,90.6,90.6,1.7,1,1,1.5,,1.5,1.5
97-10-01,90.6,90.6,1.5,1,1,1.5,,1.6,1.5
97-11-01,90.5,90.5,0.9,0.9,0.9,1.4,,1,1.1
97-12-01,90.4,90.6,0.8,0.8,0.9,1.4,,0.8,1.1
98-01-01,90.9,91.1,1.1,1.1,1.1,1.5,,1.1,1.3
98-02-01,91,91.1,1,1.1,1.2,1.6,,1.4,1.3
98-03-01,91.1,91.1,1,1,1.1,1.6,,1.2,1.2
98-04-01,91,91,0.9,0.9,1.1,1.6,,1.1,1.1
98-05-01,91.3,91.1,1.1,0.9,1.2,1.6,,1.3,1.2
98-06-01,91.4,91.2,1,0.9,1.1,1.6,,0.9,1.1
98-07-01,91.4,91.2,1,1.1,1.2,1.6,,1.2,1.2
98-08-01,91.4,91.3,0.9,1.1,1.2,1.7,,1.3,1.2
98-09-01,91.2,91.1,0.7,1.1,1.3,1.7,,1.2,1.1
98-10-01,91.6,91.6,1.1,1.1,1.2,1.8,,1.3,1.2
98-11-01,91.6,91.6,1.2,1.3,1.4,1.8,,1.3,1.4
98-12-01,91.3,91.6,1,1.1,1.2,1.7,,1.3,1.2
99-01-01,91.5,91.8,0.7,1,1.1,1.8,,1,1.2
99-02-01,91.6,91.8,0.7,1,1.1,1.7,,0.9,1.2
99-03-01,92,92,1,1.1,1.1,1.7,,1.1,1.3
99-04-01,92.5,92.5,1.6,1.3,1.2,1.7,,1.4,1.6
99-05-01,92.7,92.6,1.5,1.3,1.2,1.7,,1.4,1.6
99-06-01,92.9,92.6,1.6,1.3,1.2,1.7,,1.6,1.5
99-07-01,93.1,92.8,1.9,1.3,1.2,1.7,,1.5,1.6
99-08-01,93.3,93.2,2.1,1.3,1.2,1.6,,1.5,1.7
99-09-01,93.6,93.5,2.6,1.5,1.3,1.6,,1.9,2
99-10-01,93.7,93.6,2.3,1.5,1.3,1.6,,1.6,1.8
99-11-01,93.6,93.7,2.2,1.5,1.3,1.6,,1.6,1.6
99-12-01,93.7,94,2.6,1.6,1.4,1.6,,1.7,1.7
00-01-01,93.5,94,2.2,1.5,1.3,1.5,1.2,1.5,1.4
00-02-01,94.1,94.3,2.7,1.6,1.4,1.5,1.3,1.6,1.6
00-03-01,94.8,94.8,3,1.6,1.4,1.5,1.3,1.6,1.7
00-04-01,94.5,94.4,2.2,1.5,1.3,1.4,1.2,1.3,1.3
00-05-01,94.9,94.7,2.4,1.6,1.4,1.6,1.1,1.4,1.4
00-06-01,95.5,95.3,2.8,1.8,1.6,1.6,1.3,1.5,1.6
00-07-01,95.8,95.6,2.9,1.8,1.6,1.7,1.2,1.6,1.6
