Date,National Net Migration
0,1946-03,12738
1,1946-06,21176
2,1946-09,25078
3,1946-12,12727
4,1947-03,8009
5,1947-06,13404
6,1947-09,18624
7,1947-12,24090
8,1948-03,23076
9,1948-06,34199
10,1948-09,33932
11,1948-12,34207
12,1949-03,23265
13,1949-06,30243
14,1949-09,22641
15,1949-12,19068
16,1950-03,14470
17,1950-06,22816
18,1950-09,16964
19,1950-12,19662
20,1951-03,25914
21,1951-06,53871
22,1951-09,36463
23,1951-12,50869
24,1952-03,29106
25,1952-06,40629
26,1952-09,20676
27,1952-12,13528
28,1953-03,10387
29,1953-06,42306
30,1953-09,30610
31,1953-12,27590
32,1954-03,16198
33,1954-06,44210
34,1954-09,24814
35,1954-12,11855
36,1955-03,5580
37,1955-06,27323
38,1955-09,8829
39,1955-12,6321
40,1956-03,4805
41,1956-06,33384
42,1956-09,20929
43,1956-12,36986
44,1957-03,47031
45,1957-06,103101
46,1957-09,40554
47,1957-12,17095
48,1958-03,8278
49,1958-06,31613
50,1958-09,14757
51,1958-12,8522
52,1959-03,4483
53,1959-06,25001
54,1959-09,6698
55,1959-12,1557
56,1960-03,1448
57,1960-06,23843
58,1960-09,3578
59,1960-12,-354
60,1961-03,-2145
61,1961-06,7868
62,1961-09,-2175
63,1961-12,-4164
64,1962-03,-3744
65,1962-06,5316
66,1962-09,-176
67,1962-12,-3550
68,1963-03,-3849
69,1963-06,9347
70,1963-09,3454
71,1963-12,636
72,1964-03,-1209
73,1964-06,13118
74,1964-09,5142
75,1964-12,3125
76,1965-03,1240
77,1965-06,17322
78,1965-09,13336
79,1965-12,9553
80,1966-03,15036
81,1966-06,37657
82,1966-09,28413
83,1966-12,22148
84,1967-03,21156
85,1967-06,40688
86,1967-09,33227
87,1967-12,19343
88,1968-03,10803
89,1968-06,23551
90,1968-09,24966
91,1968-12,24618
92,1969-03,10896
93,1969-06,19038
94,1969-09,22229
95,1969-12,19279
96,1970-03,13132
97,1970-06,20716
98,1970-09,18215
99,1970-12,14689
100,1971-03,11305
101,1971-06,14327
102,1971-09,31191
103,1971-12,16143
104,1972-03,19547
105,1972-06,26575
106,1972-09,28777
107,1972-12,23907
108,1973-03,22393
109,1973-06,43710
110,1973-09,39092
111,1973-12,46219
112,1974-03,38007
113,1974-06,45383
114,1974-09,55537
115,1974-12,35541
116,1975-03,35932
117,1975-06,49760
118,1975-09,51018
119,1975-12,24822
120,1976-03,27919
121,1976-06,32956
122,1976-09,38525
123,1976-12,18768
124,1977-03,23423
125,1977-06,23156
126,1977-09,28398
127,1977-12,8849
128,1978-03,16355
129,1978-06,12931
130,1978-09,16251
131,1978-12,6114
132,1979-03,14749
133,1979-06,24537
134,1979-09,29821
135,1979-12,26427
136,1980-03,32538
137,1980-06,49504
138,1980-09,37994
139,1980-12,20708
140,1981-03,25917
141,1981-06,38093
142,1981-09,51271
143,1981-12,19190
144,1982-03,21209
145,1982-06,26856
146,1982-09,28015
147,1982-12,10470
148,1983-03,18278
149,1983-06,17290
150,1983-09,19071
151,1983-12,7304
152,1984-03,16318
153,1984-06,19214
154,1984-09,20524
155,1984-12,3130
156,1985-03,16289
157,1985-06,19559
158,1985-09,23685
159,1985-12,8923
160,1986-03,22492
161,1986-06,31199
162,1986-09,35374
163,1986-12,26583
164,1987-03,48605
165,1987-06,48003
166,1987-09,47653
167,1987-12,19804
168,1988-03,38237
169,1988-06,62009
170,1988-09,89059
171,1988-12,56612
172,1989-03,72195
173,1989-06,74206
174,1989-09,69808
175,1989-12,15957
176,1990-03,56362
177,1990-06,64225
178,1990-09,58512
179,1990-12,1363
180,1991-03,27372
181,1991-06,52798
182,1991-09,38504
183,1991-12,16045
184,1992-03,47191
185,1992-06,50147
186,1992-09,54050
187,1992-12,22814
188,1993-03,32615
189,1993-06,37768
190,1993-09,56214
191,1993-12,16208
192,1994-03,39922
193,1994-06,47976
194,1994-09,51161
195,1994-12,13154
196,1995-03,39457
197,1995-06,49388
198,1995-09,50647
199,1995-12,22300
200,1996-03,39322
201,1996-06,55277
202,1996-09,55758
203,1996-12,16196
204,1997-03,43080
205,1997-06,50582
206,1997-09,51541
207,1997-12,8819
208,1998-03,32449
209,1998-06,38959
210,1998-09,40047
211,1998-12,5808
212,1999-03,36381
213,1999-06,53191
214,1999-09,55769
215,1999-12,12674
216,2000-03,47030
217,2000-06,59296
218,2000-09,68775
219,2000-12,23652
220,2001-03,65652
221,2001-06,78621
222,2001-09,77695
223,2001-12,19765
224,2002-03,64733
225,2002-06,76785
226,2002-09,61070
227,2002-12,9917
228,2003-03,51107
229,2003-06,63316
230,2003-09,59998
231,2003-12,20779
232,2004-03,51112
233,2004-06,64392
234,2004-09,66440
235,2004-12,16234
236,2005-03,50030
237,2005-06,71106
238,2005-09,75175
239,2005-12,19742
240,2006-03,53349
241,2006-06,71312
242,2006-09,77090
243,2006-12,18603
244,2007-03,54104
245,2007-06,74853
246,2007-09,79403
247,2007-12,26513
248,2008-03,58364
249,2008-06,90807
250,2008-09,89890
251,2008-12,33606
252,2009-03,65141
253,2009-06,86895
254,2009-09,91491
255,2009-12,28729
256,2010-03,61556
257,2010-06,87008
258,2010-09,93793
259,2010-12,13066
260,2011-03,48786
261,2011-06,79307
262,2011-09,85696
263,2011-12,36645
264,2012-03,58198
265,2012-06,94532
266,2012-09,85760
267,2012-12,24600
268,2013-03,62013
269,2013-06,98919
270,2013-09,92518
271,2013-12,16356
272,2014-03,58516
273,2014-06,89534
274,2014-09,93514
275,2014-12,-419
276,2015-03,27697
