"REF_DATE","GEO","DGUID","Type of offence","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1962","Canada","","All offences, total","Number","223","units ","0","v101681","1.1","796675","","","","0"
"1962","Canada","","Criminal Code, total","Number","223","units ","0","v101682","1.2","514986","","","","0"
"1962","Canada","","Crimes of violence","Number","223","units ","0","v101683","1.3","41026","","","","0"
"1962","Canada","","Murder","Number","223","units ","0","v101684","1.4","217","","","","0"
"1962","Canada","","Attempted murder","Number","223","units ","0","v101685","1.5","83","","","","0"
"1962","Canada","","Manslaughter","Number","223","units ","0","v101686","1.6","48","","","","0"
"1962","Canada","","Robbery","Number","223","units ","0","v101687","1.7","4951","","","","0"
"1962","Canada","","Other violent crimes","Number","223","units ","0","v101688","1.8","35727","","","","0"
"1962","Canada","","Property crimes","Number","223","units ","0","v101689","1.9","351483","","","","0"
"1962","Canada","","Breaking and entering","Number","223","units ","0","v101690","1.10","82104","","","","0"
"1962","Canada","","Theft, motor vehicle","Number","223","units ","0","v101691","1.11","33482","","","","0"
"1962","Canada","","Theft, over and under","Number","223","units ","0","v101692","1.12","201240","","","","0"
"1962","Canada","","Have stolen goods","Number","223","units ","0","v101693","1.13","4624","","","","0"
"1962","Canada","","Frauds","Number","223","units ","0","v101694","1.14","30033","","","","0"
"1962","Canada","","Other crimes","Number","223","units ","0","v101695","1.15","122477","","","","0"
"1962","Canada","","Prostitution","Number","223","units ","0","v101696","1.16","1515","","","","0"
"1962","Canada","","Gaming and betting","Number","223","units ","0","v101697","1.17","2422","","","","0"
"1962","Canada","","Offensive weapons","Number","223","units ","0","v101698","1.18","2608","","","","0"
"1962","Canada","","Other Criminal Code","Number","223","units ","0","v101699","1.19","115932","","","","0"
"1962","Canada","","Federal Statutes","Number","223","units ","0","v101700","1.20","31138","","","","0"
"1962","Canada","","Provincial Statutes","Number","223","units ","0","v101701","1.21","195853","","","","0"
"1962","Canada","","Municipal By-Laws","Number","223","units ","0","v101702","1.22","54698","","","","0"
"1962","Newfoundland and Labrador","","All offences, total","Number","223","units ","0","v101835","2.1","12550","","","","0"
"1962","Newfoundland and Labrador","","Criminal Code, total","Number","223","units ","0","v101836","2.2","7898","","","","0"
"1962","Newfoundland and Labrador","","Crimes of violence","Number","223","units ","0","v101837","2.3","637","","","","0"
"1962","Newfoundland and Labrador","","Murder","Number","223","units ","0","v101838","2.4","0","","","","0"
"1962","Newfoundland and Labrador","","Attempted murder","Number","223","units ","0","v101839","2.5","0","","","","0"
"1962","Newfoundland and Labrador","","Manslaughter","Number","223","units ","0","v101840","2.6","0","","","","0"
"1962","Newfoundland and Labrador","","Robbery","Number","223","units ","0","v101841","2.7","9","","","","0"
"1962","Newfoundland and Labrador","","Other violent crimes","Number","223","units ","0","v101842","2.8","628","","","","0"
"1962","Newfoundland and Labrador","","Property crimes","Number","223","units ","0","v101843","2.9","5804","","","","0"
"1962","Newfoundland and Labrador","","Breaking and entering","Number","223","units ","0","v101844","2.10","1619","","","","0"
"1962","Newfoundland and Labrador","","Theft, motor vehicle","Number","223","units ","0","v101845","2.11","376","","","","0"
"1962","Newfoundland and Labrador","","Theft, over and under","Number","223","units ","0","v101846","2.12","3096","","","","0"
"1962","Newfoundland and Labrador","","Have stolen goods","Number","223","units ","0","v101847","2.13","96","","","","0"
"1962","Newfoundland and Labrador","","Frauds","Number","223","units ","0","v101848","2.14","617","","","","0"
"1962","Newfoundland and Labrador","","Other crimes","Number","223","units ","0","v101849","2.15","1457","","","","0"
"1962","Newfoundland and Labrador","","Prostitution","Number","223","units ","0","v101850","2.16","1","","","","0"
"1962","Newfoundland and Labrador","","Gaming and betting","Number","223","units ","0","v101851","2.17","6","","","","0"
"1962","Newfoundland and Labrador","","Offensive weapons","Number","223","units ","0","v101852","2.18","53","","","","0"
"1962","Newfoundland and Labrador","","Other Criminal Code","Number","223","units ","0","v101853","2.19","1397","","","","0"
"1962","Newfoundland and Labrador","","Federal Statutes","Number","223","units ","0","v101854","2.20","449","","","","0"
"1962","Newfoundland and Labrador","","Provincial Statutes","Number","223","units ","0","v101855","2.21","4138","","","","0"
"1962","Newfoundland and Labrador","","Municipal By-Laws","Number","223","units ","0","v101856","2.22","65","","","","0"
"1962","Prince Edward Island","","All offences, total","Number","223","units ","0","v101857","3.1","3903","","","","0"
"1962","Prince Edward Island","","Criminal Code, total","Number","223","units ","0","v101858","3.2","1295","","","","0"
"1962","Prince Edward Island","","Crimes of violence","Number","223","units ","0","v101859","3.3","136","","","","0"
"1962","Prince Edward Island","","Murder","Number","223","units ","0","v101860","3.4","0","","","","0"
"1962","Prince Edward Island","","Attempted murder","Number","223","units ","0","v101861","3.5","0","","","","0"
"1962","Prince Edward Island","","Manslaughter","Number","223","units ","0","v101862","3.6","1","","","","0"
"1962","Prince Edward Island","","Robbery","Number","223","units ","0","v101863","3.7","10","","","","0"
"1962","Prince Edward Island","","Other violent crimes","Number","223","units ","0","v101864","3.8","125","","","","0"
"1962","Prince Edward Island","","Property crimes","Number","223","units ","0","v101865","3.9","730","","","","0"
"1962","Prince Edward Island","","Breaking and entering","Number","223","units ","0","v101866","3.10","189","","","","0"
"1962","Prince Edward Island","","Theft, motor vehicle","Number","223","units ","0","v101867","3.11","85","","","","0"
"1962","Prince Edward Island","","Theft, over and under","Number","223","units ","0","v101868","3.12","373","","","","0"
"1962","Prince Edward Island","","Have stolen goods","Number","223","units ","0","v101869","3.13","25","","","","0"
"1962","Prince Edward Island","","Frauds","Number","223","units ","0","v101870","3.14","58","","","","0"
"1962","Prince Edward Island","","Other crimes","Number","223","units ","0","v101871","3.15","429","","","","0"
"1962","Prince Edward Island","","Prostitution","Number","223","units ","0","v101872","3.16","0","","","","0"
"1962","Prince Edward Island","","Gaming and betting","Number","223","units ","0","v101873","3.17","2","","","","0"
"1962","Prince Edward Island","","Offensive weapons","Number","223","units ","0","v101874","3.18","11","","","","0"
"1962","Prince Edward Island","","Other Criminal Code","Number","223","units ","0","v101875","3.19","416","","","","0"
"1962","Prince Edward Island","","Federal Statutes","Number","223","units ","0","v101876","3.20","129","","","","0"
"1962","Prince Edward Island","","Provincial Statutes","Number","223","units ","0","v101877","3.21","1417","","","","0"
"1962","Prince Edward Island","","Municipal By-Laws","Number","223","units ","0","v101878","3.22","1062","","","","0"
"1962","Nova Scotia","","All offences, total","Number","223","units ","0","v101879","4.1","29347","","","","0"
"1962","Nova Scotia","","Criminal Code, total","Number","223","units ","0","v101880","4.2","15187","","","","0"
"1962","Nova Scotia","","Crimes of violence","Number","223","units ","0","v101881","4.3","1804","","","","0"
"1962","Nova Scotia","","Murder","Number","223","units ","0","v101882","4.4","8","","","","0"
"1962","Nova Scotia","","Attempted murder","Number","223","units ","0","v101883","4.5","1","","","","0"
"1962","Nova Scotia","","Manslaughter","Number","223","units ","0","v101884","4.6","2","","","","0"
"1962","Nova Scotia","","Robbery","Number","223","units ","0","v101885","4.7","89","","","","0"
"1962","Nova Scotia","","Other violent crimes","Number","223","units ","0","v101886","4.8","1714","","","","0"
